categoria,imagen,nombre,precio,url
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/faedf3c4-049c-4d1a-8336-9af1e714597c/JORDAN+TRIANGLE.png",Jordan Triangle,"$3,299",https://www.nike.com/mx/t/tenis-de-basquetbol-jordan-triangle-gv0D4ib5/IB1154-001
Tacos de fútbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/be300ccc-8e5c-4833-aab7-acf4c8f8ce2a/TIEMPO+LIGERA+PRO+TF.png",Nike Tiempo Ligera Pro,"$3,499",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-tiempo-ligera-pro-N5rCHDLE/IB4477-101
Tacos de fútbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9434847b-43ed-46cc-bd6f-9981e5a745cb/TIEMPO+MAESTRO+CLUB+TF.png",Nike Tiempo Maestro Club,"$1,499",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-tiempo-maestro-club-nz7j5MQq/IB4482-100
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/89ae04bf-6320-42c4-8ebd-aa5575bc0c80/NIKE+AVA+EDGE.png",Nike Ava Edge,"$3,299",https://www.nike.com/mx/t/tenis-para-hombre-nike-ava-edge-bXAhFofH/IM1973-001
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1a98027c-50da-4254-a862-a9cec5f58968/SABRINA+4.png","Sabrina 4 ""Limelight Glow""","$3,199",https://www.nike.com/mx/t/tenis-de-basquetbol-sabrina-4-limelight-glow-aZHIGSQH/II0402-300
Tenis de correr en pavimento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/16089d64-9013-4c79-8455-f1704ef036ee/NIKE+VOMERO+PREMIUM.png",Nike Vomero Premium,"$5,099",https://www.nike.com/mx/t/tenis-de-correr-en-pavimento-para-hombre-nike-vomero-premium-3qQBAuyS/HQ2050-102
Tenis de skateboarding,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/37463d65-9b7c-4f58-88bb-84d54302650b/NIKE+AIR+MAX+ISHOD.png",Nike Air Max Ishod,"$2,749",https://www.nike.com/mx/t/tenis-de-skateboarding-nike-air-max-ishod-E9O5NZ22/IR1887-400
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/84b3498b-0d9a-44a2-88f7-98740a64cd1f/AIR+FORCE+1+%2707+PRM.png",Nike Air Force 1 '07 Patent Leather,"$2,799",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-force-1-07-patent-leather-os4d7EJG/IV2857-100
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/da637ca2-1d97-4c79-b164-8150690293b1/AIR+JORDAN+1+MID.png",Air Jordan 1 Mid,"$3,299",https://www.nike.com/mx/t/tenis-para-hombre-air-jordan-1-mid-f8W9ns/DQ8426-007
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2990f85d-8844-4e5b-a222-31ed53a5a9d4/NIKE+DUNK+LOW+RETRO.png",Nike Dunk Low Retro,"$2,599",https://www.nike.com/mx/t/tenis-para-hombre-nike-dunk-low-retro-oPwW8yBu/HF5441-105
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/32d638e9-2060-4462-8bd6-b8258e57cf59/AIR+FORCE+1+%2707.png",Nike Air Force 1 '07,"$2,599",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-force-1-07-xYsy9wZN/IV5732-100
Tenis para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/149eb34f-fcec-4b17-b923-089bcc16d000/AIR+FORCE+1+%2707+LV8+SPORT.png",Nike Air Force 1 '07 LV8,"$2,799",https://www.nike.com/mx/t/tenis-para-hombre-nike-air-force-1-07-lv8-srVQ3161/IM5752-001
Tenis de entrenamiento para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b2c4690c-2fe3-4be6-bc6f-eb0cfb9dfe3c/NIKE+FREE+METCON+7+AMP.png",Nike Free Metcon 7 AMP,"$3,299",https://www.nike.com/mx/t/tenis-de-entrenamiento-para-hombre-nike-free-metcon-7-amp-QzwzpXCf/IR0278-001
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/94dde898-fe71-4ae9-8cfc-794f2a21b9cd/AIR+JORDAN+40+ASW.png","Air Jordan 40 ""Infrared""","$4,499",https://www.nike.com/mx/t/tenis-de-basquetbol-air-jordan-40-infrared-W2emhO7C/IQ4092-001
Tenis de skateboarding,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/f2532088-22b4-41c0-bcb3-8c479c4eef43/NIKE+SB+ZOOM+BLAZER+MID.png",Nike SB Zoom Blazer Mid,"$2,199",https://www.nike.com/mx/t/tenis-de-skateboarding-nike-sb-zoom-blazer-mid-WyTAj8OA/864349-007
Tacos de futbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/057564ee-230d-4260-9555-9121977f28ef/VAPOR+17+PRO+TF.png",Nike Mercurial Vapor 17 Pro,"$3,699",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-mercurial-vapor-17-pro-aCKPP9Kg/IM5811-600
Tacos de futbol para pasto sintético (turf) de corte high,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e0c70da7-5696-4683-876f-7efa10fbe21a/SUPERFLY+11+CLUB+TF.png",Nike Mercurial Superfly 11 Club,"$1,899",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-high-nike-mercurial-superfly-11-club-ISEMYyjf/IO1498-100
Calzado para hombre,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2557b521-7942-40b2-af87-9839b62bba32/AIR+MORE+UPTEMPO+%2796.png",Nike Air More Uptempo '96,"$3,999",https://www.nike.com/mx/t/calzado-para-hombre-nike-air-more-uptempo-96-TK3FMT/DV0819-001
Tenis de básquetbol,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/62b002da-5883-4032-8071-c40bee479170/NIKE+G.T.+CUT+DH+X+TITAN+PE.png","Nike G.T. Cut ""Dylan Harper x TITAN""","$4,899",https://www.nike.com/mx/t/tenis-de-basquetbol-nike-gt-cut-dylan-harper-x-titan-IUSh3E9G/IU0779-001
Tacos de futbol para pasto sintético (turf) de corte low,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/805b1b1f-58af-4a52-a2b9-73c2b61a96ce/VAPOR+17+CLUB+TF.png",Nike Mercurial Vapor 17 Club,"$1,699",https://www.nike.com/mx/t/tacos-de-futbol-para-pasto-sintetico-turf-de-corte-low-nike-mercurial-vapor-17-club-9Etof8uE/IM5965-600
Tacos de fútbol para terrenos múltiples,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1257cf3f-1adb-458c-9560-66ee0cd360e5/PHANTOM+6+HIGH+CLUB+FG%2FMG.png",Nike Phantom 6 High Club,"$1,799",https://www.nike.com/mx/t/tacos-de-futbol-para-terrenos-multiples-nike-phantom-6-high-club-Fkkjn654/HQ2275-600
