nombre,etiqueta,categoria,precio,url,imagen
Nike Swoosh Classic,Lo más vendido,Banda para la cabeza,$329,https://www.nike.com/mx/t/banda-para-la-cabeza-nike-swoosh-classic-JK7TwUNc/II5131-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/971d54fb-846b-477e-aaa2-b125c1579b39/NIKE+SWOOSH+CLASSIC+HEADBAND.png"
Jordan Jumpman,,Muñequeras,$609,https://www.nike.com/mx/t/munequeras-jordan-jumpman-1qTbMr8y/AC4094-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ntck4uzx8k0zyard67pf/JORDAN+JUMPMAN+WRISTBANDS+2+PK.png"
Nike Academy,,"Mochila de futbol (grande, 30 l)","$1,349",https://www.nike.com/mx/t/mochila-de-futbol-nike-academy-grande-30-l-gXhdzucH/IO0912-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b13394f8-5f1d-4b5f-bfd1-a822882a8f74/NK+ACDMY+TEAM+BKPK+L+F26.png"
Nike,,19% de descuento,"$1,309",https://www.nike.com/mx/t/botella-fuel-1-9-l-nike-n8CqAwgO/II5193-405,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/adc80aa6-58f2-4435-83e4-6813c1a47be5/NIKE+FUEL+JUG+64+OZ+CHUG+RFSH.png"
Nike Flex Classic,,25% de descuento,$579,https://www.nike.com/mx/t/bandas-para-la-cabeza-paquete-de-6-nike-flex-classic-knMEeb4b/IQ5936-509,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6c79b4db-e4c3-4392-b615-ff66ff0d1625/NK+FLX+CLSC+HB+6PK+PRNTD+MTLC.png"
Nike Dynamic Fit,,Guantes de portero de fútbol,"$1,599",https://www.nike.com/mx/t/guantes-de-portero-de-fútbol-dynamic-fit-DTBskPPp/IF8194-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0d1b9952-7c10-41a9-a173-4c73c182c0d2/NK+GK+DYNAMIC+FIT+-+FA25.png"
Nike Mercurial Lite,Lo más vendido,Espinilleras de fútbol,$699,https://www.nike.com/mx/t/espinilleras-de-futbol-nike-mercurial-lite-zNpFcc/DN3611-014,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/db3475b7-c344-4f1b-981f-091bf9ee3361/NK+MERC+LITE+-+FA22.png"
Nike Heritage Premier,Lo más vendido,Balón de futbol,$749,https://www.nike.com/mx/t/balon-de-futbol-nike-heritage-premier-I4DsXtMc/IV7520-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e1355a86-eb35-45c0-8f9b-42fb355a6fe6/NK+HERITAGE+BALL+PREMIER+FA26.png"
Nike J,Lo más vendido,Espinilleras de futbol para adultos,$299,https://www.nike.com/mx/t/espinilleras-de-futbol-para-adultos-nike-j-fw4M67/SP0040-009,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/y02vrp5rzhlfxcc0zf2d/NK+J+GUARD.png"
Nike Academy,,Bolsa para calzado de fútbol,$449,https://www.nike.com/mx/t/bolsa-para-calzado-de-futbol-nike-academy-Ndl5n6/DC2648-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/347fa892-f662-4926-ab21-0348c7dd7080/NK+ACDMY+SHOEBAG+-+SP21.png"
Nike Match,,Guantes de fútbol para portero,$699,https://www.nike.com/mx/t/guantes-de-futbol-para-portero-nike-match-z9E8HgWq/HQ0257-011,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/299d899e-3852-4b22-ae68-ed045384541f/NK+GK+MATCH+-+HO24.png"
Nike Academy Plus,,Balón de futbol,$999,https://www.nike.com/mx/t/balon-de-futbol-nike-academy-plus-XnZSmW2a/IQ0640-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/634e08bb-c839-4935-8781-1b060e2d8efb/NK+ACADEMY+PLUS+-+FA26.png"
Nike Academy,,Calcetines de fútbol hasta la rodilla,$349,https://www.nike.com/mx/t/calcetines-de-futbol-hasta-la-rodilla-nike-academy-wwdjrW/SX4120-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/nbujnkzbdxzzkdmpl76c/U+NK+ACDMY+OTC+132.png"
Nike Academy,,Bolsa para tenis (11 l),$549,https://www.nike.com/mx/t/bolsa-para-tenis-nike-academy-11-l-r5hIVnjK/IO0925-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a1fcf029-9d9b-4676-99c3-85b5f4d3fb3f/NK+ACDMY+TEAM+SHOEBAG+F26.png"
Nike Academy,,Balón de futbol,$749,https://www.nike.com/mx/t/balon-de-futbol-nike-academy-j6kOgym1/IQ0642-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5ac9c7a5-3286-450f-a9e2-baf0a5d1894e/NK+ACADEMY+-+FA26.png"
Nike Academy,,Balón de fútbol,$749,https://www.nike.com/mx/t/balon-de-futbol-nike-academy-kFKWKI7h/HV4386-105,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9961f342-6acf-45e1-b25d-ac8779e86f4a/NK+ACADEMY+-+FA25.png"
Jordan,Lo más vendido,Mangas de compresión de básquetbol de tiradores con protección UV,$699,https://www.nike.com/mx/t/mangas-de-basquetbol-de-tiradores-con-proteccion-uv-jordan-ZwTJEmE4/AC4142-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/uod9kzqej1jojryzyiz0/JORDAN+SHOOTER+SLEEVES.png"
Nike Academy,Lo más vendido,"Maleta duffel de futbol (mediana, 60 L)",$999,https://www.nike.com/mx/t/maleta-duffel-de-futbol-mediana-60-l-nike-academy-doDPXMcv/IO0918-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/028ed769-a8f2-4d65-95a5-173770e1ba63/NK+ACDMY+TEAM+DUFF+M+F26.png"
Nike Phantom,,Balón de fútbol,$499,https://www.nike.com/mx/t/balón-de-fútbol-phantom-BLofCPdG/HV6335-104,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e0c171ef-feda-4687-9fd3-6c991226c505/NK+PHANTOM+-+FA25.png"
England VaporFast Home,,Calcetas de futbol Nike Dri-FIT ADV,$549,https://www.nike.com/mx/t/calcetas-de-futbol-nike-dri-fit-adv-inglaterra-vaporfast-home-owqSGqa7/IQ8063-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6965a25c-8126-4206-9d62-d265c9d33b33/ENT+U+NK+VPRFAST+KH+HA.png"
Paris Saint-Germain Rise,,Gorra de futbol Nike,$959,https://www.nike.com/mx/t/gorra-de-futbol-nike-paris-saint-germain-rise-pJN6a6OB/JF6805-060,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5f889a8b-78f8-48d6-9bae-016e02bc926a/PSG+U+NK+RISE+CAP+C99.png"
Jordan Jumpman,,Muñequeras,$609,https://www.nike.com/mx/t/munequeras-jordan-jumpman-1qTbMr8y/AC4094-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/jclptrotnhsl9e4ssyxy/JORDAN+JUMPMAN+WRISTBANDS+2+PK.png"
FC Barcelona Club,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-fc-barcelona-club-9VCtJvIN/JF6754-419,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3c8d1820-51f3-461b-9318-ef1bd626a18e/FCB+U+NK+CLUB+CAP+H86.png"
England Rise,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-england-rise-RJT9J5Fp/JF6769-419,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6496be0d-a397-49a4-a085-810a72a34a83/ENT+U+NK+RISE+CAP+C99+ALT2.png"
FFF Rise,,Gorra de futbol Nike,$959,https://www.nike.com/mx/t/gorra-de-futbol-nike-fff-rise-oU7m3sa8/JF6820-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1642f0ac-c232-4fed-9330-57e5ebe75a5c/FFF+U+NK+RISE+CAP+C99+ALT3.png"
Brazil Skills,,Balón de futbol Nike,$499,https://www.nike.com/mx/t/balon-de-futbol-nike-brazil-skills-nAJLMYok/JF6835-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dd1686e8-b696-4ebc-a3b8-e77f8f207a85/CBF+NK+SKILLS+BALL+BCS.png"
Paris Saint-Germain Pro,,Gorra de futbol Nike,$899,https://www.nike.com/mx/t/gorra-de-futbol-nike-paris-saint-germain-pro-ZFOw0sWb/JF6791-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/cb4b4ffa-50f7-4ba1-bffd-822b0fb3c537/PSG+U+NK+PRO+CAP+TRUE.png"
Netherlands Rise,,Gorra de futbol Nike,$759,https://www.nike.com/mx/t/gorra-de-futbol-nike-netherlands-rise-QVQzwiNf/JF6803-976,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7de606ca-5d78-4e87-bc3d-da1ad8c23c73/KNVB+U+NK+RISE+CAP+C99+ALT1.png"
